job_id,title,required_skills
201,Data Scientist,"python, machine learning, sql, pandas, statistics"
202,Backend Developer,"java, spring boot, rest api, mysql"
203,NLP Engineer,"python, nlp, deep learning, transformers"
204,Frontend Developer,"javascript, react, html, css"
205,Full Stack Developer,"python, django, postgresql, javascript"
206,Data Analyst,"data analysis, excel, sql, power bi"
207,DevOps Engineer,"aws, devops, docker, kubernetes, ci/cd"
208,Computer Vision Engineer,"python, computer vision, opencv, pytorch"
209,Software Engineer,"c++, data structures, algorithms"
210,API Developer,"python, flask, rest api, mongodb"
211,Machine Learning Engineer,"python, scikit-learn, machine learning, statistics"
212,Java Developer,"java, hibernate, spring, sql"
213,Data Engineer,"python, data engineering, spark, airflow"
214,Mobile App Developer,"react native, javascript, mobile development"
215,AI Engineer (Agentic AI/LLM),"python, agentic ai, langchain, llm, prompt engineering"
